employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Kaiser Permanente,MRI Technologist,Denver,Colorado,,,Full-time,https://www.kaiserpermanentejobs.org/job/denver/mri-technologist/641/76780251072?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Clinical Management Consultants,Lead MRI Technologist,Denver,Colorado,95080,125820,Full-time,https://www.clinicalmanagementconsultants.com/lead-mri-technologist-jobid-55230.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
Kaiser Permanente,MRI Technologist - $47-59 per hour,Denver,Colorado,46.57,59.16,Full-time,https://www.vivian.com/job/9741-1324113/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T00:00:00.000Z
Touchstone Medical Imaging,Float MRI Technologist,Denver,Colorado,45,50,Full-time,https://www.indeed.com/viewjob?jk=0de261b7eee537fa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Soliant Health,"TRAVEL MRI TECH JOB IN DENVER, COLORADO",Denver,Colorado,,,Contractor,https://www.soliant.com/jobs/travel-mri-tech-job-in-denver-colorado/8406434/?detail_cat=5609&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Ventura MedStaff,"Travel MRI Tech - $2,980 per week in Denver, CO",Denver,Colorado,,,Full-time,https://www.monster.com/job-openings/travel-mri-tech-2-980-per-week-in-denver-co-denver-co--b05d5e37-4038-4e72-bf9e-1475ba23542f?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
UCHealth,Lead - MRI Technologist - $41-62 per hour,Denver,Colorado,41.43,62.15,Full-time,https://www.vivian.com/job/1706-260707/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
Denver Health,Magnetic Resonance Imaging Technologist I - PRN,Denver,Colorado,,,Full-time,https://jobboard.globalhealth.org/jobs/20978131/magnetic-resonance-imaging-technologist-i-prn?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
Soliant Health,"Adventure Awaits! MRI Tech Travel Contract Just Outside Denver, CO",Denver,Colorado,,,Contractor,https://www.soliant.com/jobs/adventure-awaits-mri-tech-travel-contract-just-outside-denver-co/8403762/?detail_cat=5609&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
i4 Search Group,MRI Tech - Magnetic Resonance Imaging Technologist - Competitive Comp & Great Benefits,Denver,Colorado,34.59,53.55,Full-time,"https://www.ziprecruiter.com/c/i4-Search-Group-Healthcare/Job/MRI-Tech-Magnetic-Resonance-Imaging-Technologist-Competitive-Comp-&-Great-Benefits/-in-Denver,CO?jid=5f040cb1ffa1522a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Kaiser Permanente,MRI Technologist,Denver,Colorado,,,Full-time,https://www.kaiserpermanentejobs.org/job/denver/mri-technologist/641/76780251072?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Denver Health,Magnetic Resonance Imaging Technologist I - PRN,Denver,Colorado,,,Full-time,https://jobboard.globalhealth.org/jobs/20978131/magnetic-resonance-imaging-technologist-i-prn?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
i4 Search Group,MRI Tech - Magnetic Resonance Imaging Technologist - Competitive Comp & Great Benefits,Denver,Colorado,34.59,53.55,Full-time,"https://www.ziprecruiter.com/c/i4-Search-Group-Healthcare/Job/MRI-Tech-Magnetic-Resonance-Imaging-Technologist-Competitive-Comp-&-Great-Benefits/-in-Denver,CO?jid=5f040cb1ffa1522a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Ventura MedStaff,"Travel MRI Tech - $2,980 per week in Denver, CO",Denver,Colorado,,,Full-time,https://www.monster.com/job-openings/travel-mri-tech-2-980-per-week-in-denver-co-denver-co--b05d5e37-4038-4e72-bf9e-1475ba23542f?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
Denver Health,Magnetic Resonance Imaging Technologist (MRI Tech) - Weekday Night Shift,Denver,Colorado,,,Full-time,https://www.tealhq.com/job/magnetic-resonance-imaging-technologist-mri-tech-weekday-night-shift_e1eadce4-9c1d-463a-9379-b419a2846ab3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
HCA Healthcare,MRI Technologist PRN,Denver,Colorado,,,,https://careers.hcahealthcare.com/jobs/13586013-mri-technologist-prn?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
AMN Healthcare,MRI Technologist - (MRI Tech),Englewood,Colorado,2501,2882,Full-time,https://www.indeed.com/viewjob?jk=4e33e269da1ad2fd&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
UCHealth,Staff - MRI Technologist,Denver,Colorado,,,Full-time,https://www.monster.com/job-openings/staff-mri-technologist-denver-co--9175b7f9-2b2a-4e34-b606-1d0464db17a4?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
AdventHealth,MRI Tech PRN,Denver,Colorado,36.35,58.14,,https://jobs.adventhealth.com/denver-co/mri-tech-prn/5C876ADCEE9848F5B123BF55338187F6/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
St. Anthony Hospital,MRI Tech,Denver,Colorado,,,Full-time,"https://www.ziprecruiter.com/c/St.-Anthony-Hospital/Job/MRI-Tech/-in-Denver,CO?jid=b91623992a2b8ada&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
