employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
St. Anthony North Hospital,MRI Tech,Westminster,Colorado,36.5,61.47,Full-time,https://www.indeed.com/viewjob?jk=124f494419c71ab6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health Mountain Region,MRI Tech,Westminster,Colorado,36.5,61.47,Full-time,"https://www.ziprecruiter.com/c/CommonSpirit-Health-Mountain-Region/Job/MRI-Tech/-in-Westminster,CO?jid=4d54b69af6229349&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
CommonSpirit Health Mountain Region,MRI Tech,Westminster,Colorado,,,Full-time,https://commonspirit-health-mountain-region.dejobs.org/westminster-co/mri-tech/00533DB0F65C46CBB6DEECC76F5912C9/job/?vs=28&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Host Healthcare,"Travel MRI Tech - $2,103 to $2,256 per week in Westminster, CO",Westminster,Colorado,,,Full-time,https://www.monster.com/job-openings/travel-mri-tech-2-103-to-2-256-per-week-in-westminster-co-westminster-co--b01f563d-03f8-4384-9f2a-77390f78f9e4?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
KA Recruiting Inc.,Part-Time MRI Technologist in Colorado!,Westminster,Colorado,,,Full-time,https://www.alliedhealthjobcafe.com/job/radiology-and-imaging/radiography/19446285/part-time-mri-technologist-in-colorado?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-21T00:00:00.000Z
CommonSpirit Health Mountain Region,Magnetic Resonance Technologist,Westminster,Colorado,,,Full-time,https://us.bebee.com/job/e4d220abcdde880ab57c82b2524644d9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
HCA Healthcare,MRI Technologist - no experience required,Westminster,Colorado,,,Full-time and Part-time,https://jobs.womenforhire.com/job/westminster-co/mri-technologist-549071/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
HCA Healthcare,Radiologic Technologist,Westminster,Colorado,,,Part-time,https://careers.hcahealthcare.com/jobs/15422213-radiologic-technologist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-31T00:00:00.000Z
AdventHealth,MRI Tech PRN,Arvada,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/mri-tech-prn-at-adventhealth-4097630985?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
St. Anthony North Hospital,Radiology Tech,Westminster,Colorado,27.97,47.11,Full-time,https://www.indeed.com/viewjob?jk=fed8abdc0ce0c1f2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
St. Anthony North Hospital,MRI Tech,Westminster,Colorado,36.5,61.47,Full-time,https://www.indeed.com/viewjob?jk=124f494419c71ab6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health Mountain Region,MRI Tech,Westminster,Colorado,36.5,61.47,Full-time,"https://www.ziprecruiter.com/c/CommonSpirit-Health-Mountain-Region/Job/MRI-Tech/-in-Westminster,CO?jid=4d54b69af6229349&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
CommonSpirit Health Mountain Region,MRI Tech,Westminster,Colorado,,,Full-time,https://commonspirit-health-mountain-region.dejobs.org/westminster-co/mri-tech/00533DB0F65C46CBB6DEECC76F5912C9/job/?vs=28&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health Mountain Region,Magnetic Resonance Technologist,Westminster,Colorado,,,Full-time,https://us.bebee.com/job/e4d220abcdde880ab57c82b2524644d9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
HCA Healthcare,MRI Technologist - no experience required,Westminster,Colorado,,,Full-time and Part-time,https://jobs.womenforhire.com/job/westminster-co/mri-technologist-549071/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
beBee Professionals,Travel MRI Technologist,Westminster,Colorado,,,Contractor,https://us.bebee.com/job/dc9563ede03727a5f15d7d3e9766e468?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
Host Healthcare,"Travel MRI Tech - $2,103 to $2,256 per week in Westminster, CO",Westminster,Colorado,,,Full-time,https://www.monster.com/job-openings/travel-mri-tech-2-103-to-2-256-per-week-in-westminster-co-westminster-co--b01f563d-03f8-4384-9f2a-77390f78f9e4?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-29T00:00:00.000Z
Health Images,Multi-Modality Technologist,Westminster,Colorado,37.45,51.57,Full-time,https://www.indeed.com/viewjob?jk=7854403500ead5bc&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
AdventHealth,MRI Tech PRN,Arvada,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/mri-tech-prn-at-adventhealth-4097630985?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health Mountain Region,Radiology Associate,Westminster,Colorado,,,Full-time,https://us.bebee.com/job/0fef9a24431b5d8999003396a5352be1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
