employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
i4 Search Group,MRI Technologist - Full Time - Leading Outpatient Organization!,Phoenix,Arizona,30,48,Full-time,https://www.ziprecruiter.com/k/l/AALcv0ntb3vi_bkWkY5zAFCWgr-44n9JTlgEe9Yk2LT7BizOpxE8vp5a5vAv5j62ZFopMgmhbtR_rXUfH1G3XUfydIvTw9DwYoTzGYsdAATxv4SLKaBy__RTyVT1tDLj2FSIXqOvPWceXQUnKqVLzJHFsyoZnUM1c8mzAfOjZQivkbEj1MchdLQLf_TrsQlMu8bByo9JRMuSNyehLtB3yy_3uoi2fQI7GEuHXH8k5qH2K4OqNoxIVHiTL6nbdc5zcf4jaCyVNFUeN4vyxwGi5JBGzvOfZ45VYdOjWLWkVUmfB3XRhsSon8o4eC1R37Y?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
The CORE Institute Specialty Hospital,Radiology Technologist (MRI & CT) - Pool/PRN,Phoenix,Arizona,43,48,Full-time,https://www.indeed.com/viewjob?jk=2860dd668e602521&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,MRI Technologist Role,Phoenix,Arizona,,,Full-time,https://us.bebee.com/job/d32732b0a1cf3954720514eacceb13bc?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
Rapid Temps,MRI- $55Hr-Per Diem ASAP start,Phoenix,Arizona,,,Part-time,https://www.tealhq.com/job/mri-55-hr-per-diem-asap-start_fbc37607-9ad6-44a7-a290-d846161413d7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Mayo Clinic,MRI Technologist - Day Shift,Phoenix,Arizona,,,Full-time,https://jobs.mayoclinic.org/job/phoenix/mri-technologist-day-shift/33647/76394427744?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-23T00:00:00.000Z
HonorHealth,MRI Tech,Phoenix,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/mri-tech-at-honorhealth-4144541553?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
HonorHealth,MRI Tech,Phoenix,Arizona,,,Full-time and Part-time,https://jobs.honorhealth.com/jobs/78958?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Mayo Clinic,MRI Technologist - Part Time Weekends,Phoenix,Arizona,,,Part-time,https://jobs.mayoclinic.org/job/phoenix/mri-technologist-part-time-weekends/33647/71789132944?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health,MRI Technologist,Phoenix,Arizona,,,Full-time,https://www.commonspirit.careers/job/phoenix/mri-technologist/35300/73610786496?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Abrazo Central Hospital,MRI Technologist Per Diem Rotating,Phoenix,Arizona,,,,https://jobs.tenethealth.com/job/phoenix/mri-technologist-per-diem-rotating/1127/76925799696?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
Kurz Solutions,Magnetic Resonance Imaging Technologist,Phoenix,Arizona,,,Full-time,"https://www.ziprecruiter.com/c/Kurz-Solutions/Job/Magnetic-Resonance-Imaging-Technologist/-in-Phoenix,AZ?jid=bdc4b753f744ffe9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
SimonMed Imaging,MRI Technologist Position,Phoenix,Arizona,,,Full-time,https://us.bebee.com/job/3d8912dc7f9a0ba12140316e2bd0fc0a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
SimonMed Imaging,MRI Technologist Specialist,Phoenix,Arizona,,,Full-time,https://us.bebee.com/job/7e77ce6b99f3e0186df09c66c9f1e38e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
SimonMed Imaging,MRI Technologist Role,Phoenix,Arizona,,,Full-time,https://us.bebee.com/job/d32732b0a1cf3954720514eacceb13bc?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
